clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,DD,DP,FS,GS,PE,RB,SG,A,CA,FC,FD,FF,FT,G,I,CV,PP,GC,ano
265,Bahia,7,Provável,5,ata,Artur,95799,16,1.8,3.42,14,10.03,-0.07,10.1,NA,NA,24,NA,54,14,NA,1,4,14,7,12,NA,3,2,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,1,gol,Caio,99460,16,0,1.6,3,1.25,0,1.25,3,NA,NA,4,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,4,mei,Wenderson,99474,16,0,2.9,1,3.4,0,3.4,NA,NA,4,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,6,tec,Emerson Cris,95830,16,5.15,4.56,5,10.38,0.37,10.010000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,3,zag,Ruan,95860,16,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,5,ata,Igor Cássio,99661,16,0,-0.5,2,1.29,0,1.29,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,2,lat,Fernando,99550,16,0,3.4,9,4.77,0,4.77,NA,NA,7,NA,16,6,5,1,1,15,2,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Wesley,99462,16,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,3,zag,Léo Santos,95820,16,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,5,ata,Hugo Borges,95875,16,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,4,mei,Lima,96340,16,8.6,4.55,4,5.42,1.6,3.82,NA,NA,8,NA,9,7,NA,1,1,5,4,2,NA,NA,1,NA,NA,NA,2019
266,Fluminense,6,Nulo,2,lat,Mascarenhas,99721,16,0,-2.3,1,1.75,0,1.75,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,5,ata,Brenner,99789,16,0,2.3,6,3.14,0,3.14,NA,NA,4,NA,6,4,NA,NA,NA,2,2,4,1,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,3,zag,Quintero,96382,16,0.7,1.15,16,2.88,0.2,2.6799999999999997,NA,NA,6,NA,22,10,2,NA,1,6,1,1,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,5,ata,Matheus Alessandro,97527,16,0,1.5,1,2.58,0,2.58,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,1,gol,Daniel,96468,16,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,3,zag,Maurício,96464,16,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,4,mei,Richard Franco,99802,16,11.9,4.43,6,6.12,2.47,3.65,NA,NA,7,NA,12,10,NA,NA,NA,7,2,6,NA,1,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,5,ata,Chará,99891,16,0,4.71,14,12.25,0,12.25,NA,NA,19,NA,40,19,NA,NA,NA,8,10,9,1,3,4,NA,NA,NA,2019
266,Fluminense,7,Provável,4,mei,Allan,96652,16,0,-0.09,12,2.06,0,2.06,NA,NA,17,NA,40,12,NA,NA,5,26,5,8,NA,NA,NA,1,NA,NA,2019
267,Vasco,2,Dúvida,3,zag,Ricardo,99881,16,0,3.61,10,7.85,0,7.85,NA,NA,7,NA,20,18,1,NA,1,6,1,3,NA,1,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,1,gol,Léo Lopes,96965,16,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,5,ata,Arthur Gomes,96966,16,1.7,2.54,13,4.56,-0.63,5.1899999999999995,NA,NA,26,NA,16,10,NA,NA,1,7,NA,6,1,1,1,NA,NA,NA,2019
263,Botafogo,7,Provável,5,ata,Lucas Campos,99903,16,1.4,1.77,6,1.97,0.16,1.81,NA,NA,6,NA,6,6,NA,NA,NA,4,NA,3,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Luan Pereira,99900,16,-0.3,0.97,10,2.54,-0.28,2.8200000000000003,NA,NA,10,NA,12,8,NA,1,4,7,1,2,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,5,ata,Yony González,97080,16,0,6.96,12,13.57,0,13.57,NA,NA,22,NA,15,13,NA,NA,NA,9,8,23,1,4,2,NA,NA,NA,2019
285,Internacional,6,Nulo,2,lat,Dudu,97133,16,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,4,mei,Rickson,100002,16,0,1.63,3,1.99,0,1.99,NA,NA,5,NA,3,2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,5,ata,Janderson,97245,16,0,-0.5,1,1.23,0,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,5,Contundido,5,ata,Lincoln,100065,16,0,1.97,8,3.74,0,3.74,NA,NA,8,NA,8,2,NA,NA,1,3,4,3,NA,1,1,NA,NA,NA,2019
276,São Paulo,6,Nulo,4,mei,Igor Gomes,100084,16,0,-0.09,8,0.83,0,0.83,NA,NA,5,NA,7,2,NA,NA,2,5,2,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Daniel,97349,16,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,4,mei,Patrick,99918,16,1.4,1.44,7,1.9,0.09,1.8099999999999998,NA,NA,7,NA,6,3,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,5,ata,Pedrinho,100103,16,0,0.7,1,1.1,0,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,6,tec,Rogério Ceni,97341,16,2.32,3.36,16,7.93,-0.75,8.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,3,zag,Thuler,100125,16,0,0.74,8,2.25,0,2.25,NA,NA,4,NA,7,4,1,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,5,ata,Felipe Pires,100289,16,1.5,0.75,2,3.84,0.04,3.8,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,5,ata,Pachu,97352,16,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,5,ata,Matheus Matias,100430,16,0,-0.1,2,1.79,0,1.79,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,5,ata,Yuri Alberto,100652,16,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,7,Provável,5,ata,Bustamante,100425,16,-1.8,-1.23,3,0.77,-0.01,0.78,NA,NA,2,NA,6,1,NA,NA,1,8,NA,2,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,5,ata,Marcos Calazans,97452,16,0,0.17,3,2.38,0,2.38,NA,NA,2,NA,4,3,NA,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Lepu,97522,16,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Shaylon,97520,16,0,0.32,6,2.99,0,2.99,NA,NA,2,NA,7,2,NA,NA,NA,4,1,1,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,5,ata,Lucas Venuto,100290,16,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,4,mei,Gabriel Sara,100763,16,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,7,Provável,4,mei,Liziero,100761,16,3.5,2.26,5,4.62,0.39,4.23,NA,NA,5,NA,9,8,NA,NA,NA,5,1,1,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,1,gol,Filipe,100712,16,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
