clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,FC,FD,FF,FS,PE,RB,CA,DD,GS,SG,DP,FT,I,G,A,CV,PP,GC,ano
265,Bahia,6,Nulo,5,ata,Fernandão,62033,8,3.7,2.83,7,6.75,-0.4,7.15,2,5,7,4,6,2,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,2019
354,Ceará,7,Provável,6,tec,Enderson Moreira,62137,8,4.2,3.85,8,10.81,0.12,10.690000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,5,ata,Gilberto,61188,8,0,6.67,6,17.49,0,17.49,4,4,7,1,8,5,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,2019
265,Bahia,6,Nulo,3,zag,Jackson,70934,8,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,1,gol,Santos,69012,8,3.7,2.41,7,6.2,0.01,6.19,1,NA,NA,1,7,NA,1,9,8,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,4,mei,Elton,71719,8,0.8,1.25,7,4.58,-0.09,4.67,15,NA,3,NA,9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,3,zag,Lucas Fonseca,80189,8,4.2,2.8,8,5.7,-0.01,5.71,2,1,NA,2,16,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,5,ata,Arthur Caíke,80337,8,3.8,3.5,6,10.63,0.39,10.24,5,2,6,2,9,NA,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Clayton,81770,8,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Rogério,73540,8,0.8,2.72,6,8.84,-0.63,9.47,7,5,3,10,7,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2019
