clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,FC,A,CA,FD,FF,FS,FT,G,I,PE,RB,CV,PP,DD,DP,GS,SG,GC,ano
264,Corinthians,3,Suspenso,5,ata,Boselli,69161,28,-1.4,2.8,14,3.68,-0.53,4.21,9,2,3,6,6,13,NA,3,2,16,2,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,2,lat,Roberto,71116,28,4.1,2.96,7,4.16,0.12,4.04,9,1,NA,4,6,12,NA,NA,1,13,6,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,4,mei,Reinier,105068,28,3.2,5.08,8,3.9,-0.3,4.2,8,2,1,1,7,5,NA,3,NA,14,5,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,5,ata,Gamarra,69288,28,0,0.2,2,5.34,0,5.34,2,NA,NA,NA,1,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,2,lat,Talison,105173,28,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,2,lat,Léo,69177,28,2.5,3.43,12,5.66,-0.33,5.99,22,2,4,NA,7,20,NA,NA,NA,20,17,1,NA,NA,NA,NA,4,NA,2019
293,Athlético-PR,2,Dúvida,4,mei,Nikão,69705,28,2.2,4.52,15,15,-0.34,15.34,10,2,2,11,13,11,1,4,3,21,7,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,2,Dúvida,2,lat,Khellven ,105175,28,-3.4,-0.03,3,0.77,-0.48,1.25,4,NA,1,NA,NA,NA,NA,NA,NA,7,4,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,5,ata,Bruninho,105111,28,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,4,mei,Romulo,70009,28,0.2,1.56,11,4.32,-0.52,4.84,20,NA,3,2,4,11,NA,1,NA,18,13,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,5,ata,Luiz Fernando,105176,28,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
