clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,CA,FD,FF,FS,G,PE,RB,FC,SG,I,A,DD,GS,FT,DP,GC,PP,CV,ano
276,São Paulo,6,Nulo,1,gol,Júnior,103662,9,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,3,zag,Walce,104074,9,0,3.57,3,3.67,0,3.67,NA,NA,NA,NA,NA,6,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,4,mei,Diego Pituca,94156,9,4.2,1.81,8,3.61,0.63,2.98,3,2,5,9,1,23,10,19,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,4,mei,Yuri Lima,90569,9,-1.1,0.02,4,1.84,-0.51,2.35,2,NA,NA,2,NA,8,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,2,lat,Alan Cardoso,93785,9,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,2,lat,Jorge,88065,9,10,8.44,7,14.9,1.46,13.440000000000001,1,7,6,12,NA,12,11,11,5,1,2,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,2,lat,Orinho,95542,9,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,5,ata,Vinícius Popó,105201,9,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,3,zag,Aguilar,95494,9,4.4,2.07,7,4.71,0.78,3.9299999999999997,1,NA,NA,NA,NA,5,6,12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,7,Provável,6,tec,Marcelo Cabo,37333,9,2.11,2.78,9,5.21,-0.12,5.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,4,mei,Michel,103579,9,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,2,lat,Uendel,60852,9,0.4,3.98,4,2.83,-0.82,3.65,NA,1,3,2,NA,9,10,9,1,3,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,4,mei,Jean Lucas,98517,9,9.9,4.84,9,12.34,0.84,11.5,2,6,5,18,NA,17,20,11,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,5,ata,Arthur Gomes,96966,9,1.6,1.53,6,3.55,-0.16,3.71,NA,NA,2,8,NA,8,3,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA,2019
277,Santos,6,Nulo,4,mei,Lucas Lourenço,101580,9,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,4,mei,Camilo,62009,9,8.6,4.38,4,7.36,1.07,6.29,1,3,5,5,NA,12,3,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,3,zag,Lucas Veríssimo,93368,9,0,4.02,8,8.27,0,8.27,3,NA,3,7,NA,19,17,20,4,1,NA,NA,NA,1,NA,NA,NA,NA,2019
277,Santos,6,Nulo,5,ata,Yuri Alberto,100652,9,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,4,mei,D'Alessandro,62023,9,8.2,2.08,6,8.08,1.39,6.69,NA,4,4,5,1,25,1,NA,NA,2,1,NA,NA,NA,NA,NA,1,NA,2019
341,CSA,7,Provável,2,lat,Carlinhos,38451,9,1.7,4.33,7,5.91,-1.22,7.13,NA,3,3,5,1,24,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
