clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,FC,FD,FF,PE,RB,SG,A,CV,FS,I,CA,G,DD,GS,DP,FT,PP,GC,ano
277,Santos,6,Nulo,1,gol,Vanderlei,62121,30,0,7.97,6,22.89,0,22.89,NA,NA,NA,4,NA,3,NA,NA,2,NA,NA,NA,15,6,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,4,mei,Everton Ribeiro,51772,30,0.2,3.63,25,11.61,-0.54,12.149999999999999,25,10,13,77,34,NA,6,NA,43,1,3,1,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Maicon,62968,30,0,1.76,9,5.16,0,5.16,8,1,3,11,6,NA,2,NA,6,1,1,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,3,zag,Werley,62974,30,0,-0.82,6,0.78,0,0.78,5,3,NA,5,1,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,1,2019
267,Vasco,6,Nulo,4,mei,Bruno César,52558,30,0,1.23,10,5.82,0,5.82,5,NA,1,10,1,NA,NA,NA,12,1,1,2,NA,NA,NA,NA,1,NA,2019
293,Athlético-PR,7,Provável,4,mei,Wellington,62129,30,0,-0.59,22,0.78,0,0.78,39,3,3,46,13,NA,1,NA,12,NA,8,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,2,lat,Marcos Rocha,63013,30,0,6.47,19,17.48,0,17.48,32,1,4,62,61,8,1,NA,26,1,2,1,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,4,mei,Ganso,62977,30,1.3,1.81,23,7.43,-0.55,7.9799999999999995,24,10,13,73,24,NA,NA,NA,30,NA,7,2,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,1,gol,Victor,52950,30,0,3.32,9,6.56,0,6.56,NA,NA,NA,7,NA,1,NA,NA,NA,NA,1,NA,17,11,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,3,zag,Anderson Martins,52618,30,0,2.05,10,3.52,0,3.52,12,NA,NA,12,13,4,NA,NA,1,NA,5,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,5,Contundido,4,mei,Didira,63178,30,0,1.39,13,5.3,0,5.3,14,2,3,21,17,NA,NA,NA,14,NA,3,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,2,lat,Gilson,52674,30,0,1.68,18,5.35,0,5.35,20,NA,1,37,19,5,1,2,16,NA,3,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,3,Suspenso,1,gol,Rodolfo,63082,30,0,-0.67,6,2.22,0,2.22,NA,NA,NA,5,NA,NA,NA,NA,1,NA,NA,NA,7,12,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,3,zag,Paulão,63172,30,0,3.87,6,6.49,0,6.49,3,1,NA,10,9,1,NA,NA,4,NA,1,1,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,3,zag,Douglas,63128,30,4.2,0.87,19,3.08,-0.45,3.5300000000000002,21,2,5,13,12,3,NA,NA,7,NA,6,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,7,Provável,5,ata,Bergson,68696,30,-4.3,2.93,18,4.13,-3.22,7.35,18,13,13,15,8,NA,1,NA,24,9,2,3,NA,NA,NA,NA,1,NA,2019
290,Goiás,6,Nulo,2,lat,Alan Ruschel,63110,30,4.2,2.16,11,5.22,0.36,4.859999999999999,20,2,1,10,7,3,NA,NA,16,NA,4,1,NA,NA,NA,NA,NA,NA,2019
