clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,A,CA,FC,FF,FS,I,PE,RB,SG,CV,FD,DD,GS,G,DP,PP,FT,GC,ano
275,Palmeiras,6,Nulo,4,mei,Matheus Fernandes,94067,31,-2.6,0.98,6,3.1,-0.93,4.03,NA,1,7,NA,3,NA,6,7,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,5,ata,Alisson Safira,93782,31,0,0.65,4,3.13,0,3.13,1,1,7,NA,6,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,2,lat,Alan Cardoso,93785,31,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,4,mei,Daniel,93791,31,8.6,2.08,24,5.89,1.23,4.66,3,2,15,6,32,1,66,19,NA,NA,8,NA,NA,1,NA,NA,NA,NA,2019
282,Atlético-MG,5,Contundido,1,gol,Michael,93659,31,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,1,gol,Matheus Cabral,93795,31,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,5,ata,Jarro Pedroso,94542,31,0,-0.38,4,1.21,0,1.21,NA,1,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,2,Dúvida,5,ata,Ribamar,94068,31,0,2.26,13,2.61,0,2.61,NA,NA,18,13,11,7,11,2,NA,NA,6,NA,NA,2,NA,NA,1,NA,2019
277,Santos,7,Provável,4,mei,Diego Pituca,94156,31,2.5,1.24,28,3.54,0.53,3.01,NA,7,58,14,27,NA,71,31,NA,NA,11,NA,NA,1,NA,NA,2,NA,2019
284,Grêmio,6,Nulo,5,ata,Felipe Vizeu,94138,31,0,0.67,9,2.41,0,2.41,NA,NA,9,4,3,NA,7,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Andrey,93787,31,0,2.73,14,5.89,0,5.89,NA,1,13,5,9,NA,21,20,NA,NA,3,NA,NA,1,NA,NA,1,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Alessandro Vinícius,94495,31,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,4,mei,Raphael Veiga,94509,31,-0.1,2.25,11,6.48,-0.25,6.73,NA,NA,10,9,7,NA,9,6,NA,NA,4,NA,NA,1,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Geovane Itinga,94980,31,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Max,94982,31,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Lima,94288,31,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Felipinho,94981,31,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,4,mei,Lucas Fernandes,94931,31,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,4,mei,Thalles,95222,31,1,3.5,4,2.03,-1.51,3.54,1,1,7,3,7,NA,2,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2019
341,CSA,7,Provável,4,mei,Jonatan Gomez,94857,31,0,4.73,22,6.37,0,6.37,3,5,27,16,61,1,56,18,NA,NA,14,NA,NA,5,NA,NA,1,NA,2019
290,Goiás,6,Nulo,5,ata,Zeca,94976,31,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,4,mei,Matheus Jesus,95335,31,0,2.4,5,4.5,0,4.5,NA,NA,3,NA,7,1,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,2,lat,Jefferson,95220,31,-2.5,4.07,28,10.66,-0.97,11.63,2,5,25,7,28,1,60,46,9,NA,3,NA,NA,1,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,2,lat,Juninho Capixaba,94968,31,0,3.47,15,7.24,0,7.24,1,7,27,2,33,3,35,24,6,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Marco Antônio,94975,31,10.5,3.8,6,4.45,1.99,2.46,1,NA,3,2,12,1,9,3,NA,NA,2,NA,NA,1,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,5,ata,Matheus Lucas,95246,31,0,1.1,2,1.1,0,1.1,NA,NA,3,1,4,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,2,lat,Orejuela,95352,31,0,2.68,16,4.62,0,4.62,NA,2,32,3,15,1,31,24,4,1,3,NA,NA,1,NA,NA,NA,NA,2019
265,Bahia,7,Provável,4,mei,Gregore,95464,31,2.1,2.08,27,9.67,0.75,8.92,1,6,94,11,21,NA,78,78,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,3,zag,Kunde,95476,31,0.7,-0.75,6,0.78,0,0.78,NA,2,9,NA,2,NA,15,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,5,Contundido,3,zag,Marcelo Benevenuto,95638,31,0,2,12,4.68,0,4.68,1,3,7,1,12,NA,21,6,2,NA,NA,NA,NA,2,NA,NA,1,2,2019
277,Santos,6,Nulo,3,zag,Aguilar,95494,31,0,3.42,16,6.33,0,6.33,NA,3,21,2,9,NA,15,23,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,4,mei,Gustavo Bochecha,95798,31,0,1.45,21,5.33,0,5.33,1,2,8,8,15,NA,65,24,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,2,lat,Orinho,95542,31,0,4.92,4,2.97,0,2.97,NA,NA,6,2,3,NA,2,6,2,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,2,lat,Igor Vinícius,95466,31,0,3.98,17,7.99,0,7.99,2,3,28,4,9,NA,28,33,7,2,3,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,4,mei,Araruna,95660,31,0,1.17,6,2.86,0,2.86,NA,1,2,NA,2,NA,15,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,6,tec,Zé Ricardo,95780,31,2.65,2.39,11,6.69,0.34,6.3500000000000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,5,ata,Igor Cássio,99661,31,2.7,2.82,8,2.05,-1.16,3.21,NA,1,4,3,5,NA,9,4,NA,NA,2,NA,NA,2,NA,NA,NA,NA,2019
263,Botafogo,3,Suspenso,2,lat,Fernando,99550,31,1.4,2.62,18,4.25,-0.2,4.45,1,6,30,1,13,NA,36,24,6,NA,3,NA,NA,NA,NA,NA,1,NA,2019
262,Flamengo,6,Nulo,4,mei,Piris da Motta,95802,31,0,0.58,21,2.98,0,2.98,NA,3,16,3,18,NA,14,12,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,5,ata,Artur,95799,31,-0.7,2.91,27,9.3,-0.18,9.48,2,6,21,21,40,5,83,16,NA,NA,11,NA,NA,6,NA,1,NA,NA,2019
314,Avaí,5,Contundido,2,lat,Iury,101846,31,0,2.94,10,6.43,0,6.43,1,1,14,3,10,NA,30,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,3,zag,Quintero,96382,31,0.6,1.32,30,3.28,0.05,3.23,NA,3,17,2,11,NA,42,17,5,NA,1,NA,NA,1,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,3,zag,Ricardo,101491,31,0,1.93,20,4.06,0,4.06,NA,4,20,4,5,3,45,19,7,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,5,ata,Hugo Borges,95875,31,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,6,tec,Evando Camillato,96454,31,1.15,1.76,7,6.38,-0.02,6.3999999999999995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,4,mei,Lima,96340,31,0,4.33,12,5.8,0,5.8,1,2,12,9,23,2,21,17,NA,NA,10,NA,NA,1,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,1,gol,Daniel,96468,31,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,3,zag,Maurício,96464,31,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,4,mei,Allan,96652,31,2.4,0.55,23,2.04,-0.39,2.43,1,9,52,13,27,NA,67,28,NA,1,9,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,5,Contundido,3,zag,Léo Santos,95820,31,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,2,lat,Dudu,97133,31,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,5,ata,Arthur Gomes,96966,31,0,2.72,22,5.17,0,5.17,NA,2,19,9,41,2,26,16,NA,NA,3,NA,NA,3,NA,NA,1,NA,2019
264,Corinthians,6,Nulo,4,mei,Mantuan,97315,31,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,1,gol,Léo Lopes,96965,31,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,6,tec,Rogério Ceni,97341,31,3.84,3.31,29,8.57,0.18,8.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,5,ata,Janderson,97245,31,7.6,2.6,12,2.93,1.17,1.7600000000000002,1,NA,9,6,16,NA,10,7,NA,NA,2,NA,NA,1,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,5,ata,Yony González,97080,31,-1.6,5.29,27,12.38,-0.07,12.450000000000001,2,2,37,40,50,5,32,24,NA,NA,21,NA,NA,5,NA,NA,3,NA,2019
356,Fortaleza,6,Nulo,5,ata,Matheus Alessandro,97527,31,0.5,0.75,6,2.16,-0.09,2.25,NA,NA,2,NA,5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,5,ata,Marcos Calazans,97452,31,0,0.13,4,1.94,0,1.94,NA,1,7,NA,3,NA,4,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Shaylon,97520,31,0,0.32,6,2.99,0,2.99,NA,NA,4,1,2,NA,7,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Lepu,97522,31,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,3,zag,Hiago,97535,31,-0.5,0.67,3,1.32,-0.53,1.85,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,5,ata,Pachu,97352,31,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
