clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,FC,FD,FF,FS,I,PE,RB,CA,CV,FT,SG,G,A,PP,DD,GS,DP,GC,ano
293,Athlético-PR,5,Contundido,4,mei,Bruno Leite,102301,18,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,2,Dúvida,4,mei,Douglas,38738,18,0,-0.45,7,4.65,0,4.65,1,NA,2,3,2,14,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,3,zag,Maurício Ramos,42477,18,-0.3,2.53,7,4.59,-0.3,4.89,11,NA,1,7,NA,12,5,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,4,mei,Kaio,102563,18,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,3,zag,Vital,102452,18,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,4,mei,Nenê,38913,18,2.9,2.4,7,6.02,-0.05,6.069999999999999,9,3,3,7,NA,24,4,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,5,ata,Ricardo Oliveira,38910,18,0.3,3.51,13,13.49,-0.69,14.18,14,9,9,13,2,11,5,NA,NA,1,NA,2,2,1,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,5,ata,Helinho,102598,18,0,0.38,5,3.27,0,3.27,5,1,1,6,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,4,mei,Miguel Figueira,102565,18,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,7,Provável,2,lat,Daniel Alves,38939,18,0,8.3,3,17.03,0,17.03,7,1,2,5,NA,13,4,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,5,ata,Vagner Love,38959,18,6.9,2.97,14,6.23,1.12,5.11,14,3,5,24,6,21,7,2,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,5,ata,Victor Paraíba,102457,18,0,1.55,9,2.46,0,2.46,1,1,3,5,1,7,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,2,lat,Carlos Augusto,101803,18,0,3.08,6,4.81,-0.21,5.02,4,NA,1,2,NA,11,4,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,4,mei,Thiaguinho,102599,18,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,1,gol,Yago Darub,102686,18,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,5,ata,Renato,39572,18,0,2.55,4,5.74,0,5.74,NA,2,3,9,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,7,Provável,6,tec,Vanderlei Luxemburgo,41327,18,1.26,3.12,14,7.9,0.03,7.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,3,zag,Nathan,102607,18,0,0.43,4,1.44,0,1.44,3,1,NA,2,NA,5,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,5,ata,Willian,42116,18,8,1.88,5,8.2,1.84,6.359999999999999,4,2,NA,4,1,5,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,1,gol,Fernando Castro,102609,18,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,2,lat,Egídio,42145,18,0,4.53,9,9.36,0,9.36,8,3,1,10,1,32,17,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Dudu,102852,18,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,5,ata,Osvaldo,42222,18,2.7,1.73,15,5.26,-0.68,5.9399999999999995,12,4,3,4,NA,18,6,1,1,NA,NA,2,2,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Rodrigo Fernandes,102771,18,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,5,Contundido,4,mei,Yann Rolim,102892,18,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,2,lat,Hulk,102700,18,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,5,ata,Moresche,102719,18,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
