clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,A,CA,FC,FD,FF,FS,G,I,PE,PP,RB,FT,CV,SG,DD,DP,GS,GC,ano
263,Botafogo,6,Nulo,1,gol,Diego Cavalieri,38431,27,0,6.31,7,6.35,0,6.35,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,21,NA,9,NA,2019
293,Athlético-PR,7,Provável,2,lat,Adriano,38336,27,5.4,2.25,6,9.87,0.8,9.069999999999999,1,3,5,NA,1,1,NA,NA,11,NA,6,NA,NA,2,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,4,mei,Thiago Neves,38277,27,4,4.6,21,9.07,-0.72,9.790000000000001,2,6,20,17,26,24,6,2,46,NA,13,1,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,6,tec,Mano Menezes,37281,27,3.13,3.76,23,10.04,-0.33,10.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,4,mei,Henrique,37694,27,0,3.17,22,7.59,-0.97,8.56,NA,3,33,3,11,39,NA,1,28,NA,46,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,1,gol,Marcelo Boeck,37788,27,0,4.41,7,4.9,0,4.9,NA,1,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,2,15,NA,10,NA,2019
341,CSA,7,Provável,5,ata,Ricardo Bueno,69141,27,8,3.66,18,15.21,1.56,13.65,2,3,22,6,8,18,6,12,19,1,12,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,5,ata,Rafael Sobis,37798,27,0,4.45,14,7.76,0,7.76,3,4,12,16,15,10,2,NA,20,NA,10,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,2,lat,Rafinha,38144,27,0,4.5,14,10.1,0,10.1,4,5,21,3,1,13,NA,1,25,NA,17,NA,NA,7,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,2,lat,Léo Moura,37701,27,0,1.73,12,4.49,0,4.49,1,1,5,NA,1,9,NA,NA,35,NA,7,NA,NA,3,NA,NA,NA,NA,2019
