atleta_id,apelido,posicao,status,preco_num,variacao_num,clube_id,clube,clube_adv_id,clube_adv,mandante,pontuacao_projetada
102909,Luan,mei,Provável,3.06,0.49,276,São Paulo,290,Goiás,1,2.533842557332657
103099,Éderson,mei,Provável,1.8,0.8,283,Cruzeiro,354,Ceará,0,0.4463893912416006
42232,Amaral,mei,Nulo,2.93,0,315,Chapecoense,264,Corinthians,1,1.3825565237987028
51772,Everton Ribeiro,mei,Nulo,13.59,0,262,Flamengo,285,Internacional,1,5.950730475867558
54395,Elias,mei,Nulo,9.17,0,282,Atlético-MG,267,Vasco,1,2.2361041323782334
68834,Rithely,mei,Nulo,5.28,0,285,Internacional,262,Flamengo,0,1.9217869038813857
68954,Marquinhos Gabriel,mei,Dúvida,3.16,0,283,Cruzeiro,354,Ceará,0,1.493839115637417
71042,Augusto,mei,Nulo,4.56,0,315,Chapecoense,264,Corinthians,1,2.599942989568464
71113,Felipe Baxola,mei,Nulo,4.27,0,354,Ceará,283,Cruzeiro,1,1.5035912287524091
71162,Vinícius,mei,Nulo,4.99,0,282,Atlético-MG,267,Vasco,1,4.999827915145826
71479,Lucho González,mei,Dúvida,4.66,0,293,Athlético-PR,356,Fortaleza,1,1.9389007394822957
71829,Júnior Urso,mei,Nulo,6.7,0,264,Corinthians,315,Chapecoense,0,1.6858055909532712
72497,Gustavo Campanharo,mei,Contundido,6.23,0,315,Chapecoense,264,Corinthians,1,4.1002878392510445
74213,Guerra,mei,Nulo,3.43,-0.14,265,Bahia,263,Botafogo,1,1.0986491891116001
78577,Ricardinho,mei,Dúvida,7.33,0,354,Ceará,283,Cruzeiro,1,4.821538254423874
78605,Gabriel,mei,Nulo,6.63,0,264,Corinthians,315,Chapecoense,0,1.990485372414778
80583,Lucas Lima,mei,Nulo,4.32,0,275,Palmeiras,341,CSA,1,1.2358660585187442
82411,Cueva,mei,Nulo,5.15,0,277,Santos,266,Fluminense,0,0.44994225043070024
84381,Rafinha,mei,Nulo,3.48,0,290,Goiás,276,São Paulo,0,0.6710619244462666
85465,Alex Santana,mei,Contundido,10.08,0,263,Botafogo,265,Bahia,0,5.229133390814629
86766,Matheus Rossetto,mei,Provável,2.49,0,293,Athlético-PR,356,Fortaleza,1,1.6559488786647645
93108,Mateus Vital,mei,Nulo,7.48,0,264,Corinthians,315,Chapecoense,0,4.774379732736067
97619,Tomás Andrade,mei,Nulo,3.82,0,293,Athlético-PR,356,Fortaleza,1,1.8701287014585506
98022,Erick,mei,Nulo,0.77,0,293,Athlético-PR,356,Fortaleza,1,1.661073085112701
98832,Jean Pyerre,mei,Contundido,10.48,0,284,Grêmio,314,Avaí,1,2.7953622410966266
100084,Igor Gomes,mei,Nulo,0.88,-0.2,276,São Paulo,290,Goiás,1,1.4162388969748894
100761,Liziero,mei,Nulo,3.82,0,276,São Paulo,290,Goiás,1,2.5680949225707277
100987,Nonato,mei,Dúvida,8.81,0,285,Internacional,262,Flamengo,0,1.617322552548038
101484,Thonny Anderson,mei,Provável,4.21,-1.51,293,Athlético-PR,356,Fortaleza,1,2.224165914025824
102999,Régis,mei,Nulo,3.55,0,315,Chapecoense,264,Corinthians,1,1.330962161211711
50293,Ramires,mei,Contundido,6.79,0,275,Palmeiras,341,CSA,1,1.4771206484211103
50324,Hudson,mei,Nulo,9.56,0,276,São Paulo,290,Goiás,1,2.3458939012152187
61985,Airton,mei,Nulo,1.97,0,266,Fluminense,277,Santos,1,3.258647007822273
68698,Bruno Silva,mei,Nulo,7.02,0,285,Internacional,262,Flamengo,0,1.7156139340269287
70116,Fellipe Bastos,mei,Nulo,4.79,0,267,Vasco,282,Atlético-MG,0,2.4939111585164566
71937,Juninho,mei,Provável,6.9,0,356,Fortaleza,293,Athlético-PR,0,4.579284535549601
78548,Jean Mota,mei,Nulo,8,0,277,Santos,266,Fluminense,0,1.6402452265087253
80395,Renatinho,mei,Nulo,2.11,0,290,Goiás,276,São Paulo,0,0.8486083777026856
81091,Jair,mei,Contundido,6.81,0,282,Atlético-MG,267,Vasco,1,2.181221025672942
86859,José Welison,mei,Nulo,4.66,0,282,Atlético-MG,267,Vasco,1,1.6406048353637344
87552,Vitor Bueno,mei,Nulo,6.12,0,276,São Paulo,290,Goiás,1,2.109882339168192
89815,Gustavo Ferrareis,mei,Nulo,2.47,0.82,314,Avaí,284,Grêmio,0,1.1276546252614668
98794,Diego Torres,mei,Nulo,4.98,0,315,Chapecoense,264,Corinthians,1,2.3493583508701406
37614,Evandro,mei,Dúvida,5.04,0,277,Santos,266,Fluminense,0,0.6845543595658532
50877,Pedro Ken,mei,Dúvida,3.33,0,354,Ceará,283,Cruzeiro,1,1.3646962914077014
62023,D'Alessandro,mei,Contundido,6.49,0,285,Internacional,262,Flamengo,0,0.7677388807219248
63178,Didira,mei,Nulo,5.3,0,341,CSA,275,Palmeiras,0,2.0754228123903573
69705,Nikão,mei,Nulo,16.23,0,293,Athlético-PR,356,Fortaleza,1,2.100061629274314
71667,Geovane,mei,Nulo,2.8,0,290,Goiás,276,São Paulo,0,1.7532095460188266
72362,Rodrigo Lindoso,mei,Provável,11.35,0,285,Internacional,262,Flamengo,0,1.8836665929768432
80944,Marlone,mei,Nulo,5.27,0,290,Goiás,276,São Paulo,0,1.5906865523458786
82407,Chico,mei,Nulo,3.68,0,354,Ceará,283,Cruzeiro,1,1.5610934239080247
84428,Fernando Sobral,mei,Nulo,5.34,0,354,Ceará,283,Cruzeiro,1,2.9708051135817026
85423,Valdívia,mei,Nulo,3.86,0,267,Vasco,282,Atlético-MG,0,1.5109520408791233
88427,Marlon,mei,Nulo,2.59,0,356,Fortaleza,293,Athlético-PR,0,1.2769636576823862
94067,Matheus Fernandes,mei,Nulo,3.87,0,275,Palmeiras,341,CSA,1,1.3715667009665755
94509,Raphael Veiga,mei,Nulo,7.88,0,275,Palmeiras,341,CSA,1,2.3797459416301376
98760,Mariano Vázquez,mei,Nulo,3.77,0,356,Fortaleza,293,Athlético-PR,0,0.7857782993363991
99918,Patrick,mei,Nulo,1.79,0,284,Grêmio,314,Avaí,1,1.9581468386359613
104593,Darlan,mei,Nulo,1.73,0,284,Grêmio,314,Avaí,1,1.6733564746037102
