clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,CA,DD,FS,GS,PE,SG,FC,FD,FF,RB,DP,A,G,I,PP,CV,FT,GC,ano
285,Internacional,6,Nulo,4,mei,Bruno Silva,68698,33,0,2.46,12,7.84,0,7.84,4,NA,15,NA,23,NA,22,4,4,27,NA,NA,NA,1,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,3,zag,Paulo Miranda,68817,33,0,2.3,12,4.96,0,4.96,2,NA,4,NA,14,4,14,1,NA,11,NA,NA,1,NA,NA,NA,NA,1,2019
285,Internacional,7,Provável,1,gol,Marcelo Lomba,68872,33,4.7,4.08,29,11.48,-0.4,11.88,1,42,8,27,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2019
266,Fluminense,7,Provável,3,zag,Digão,68886,33,-0.3,3.31,17,5.73,-0.7,6.430000000000001,2,NA,11,NA,19,6,19,1,3,26,NA,NA,1,1,NA,2,NA,NA,2019
284,Grêmio,6,Nulo,2,lat,Rafael Galhardo,68821,33,0,5.04,14,5.13,0,5.13,NA,NA,6,NA,26,6,12,4,2,13,NA,3,2,1,NA,1,NA,NA,2019
267,Vasco,6,Nulo,2,lat,Ramon,68896,33,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,5,ata,Rodrigo Pimpão,68901,33,0,0.65,19,1.84,0,1.84,6,NA,6,NA,40,NA,28,6,9,13,NA,3,NA,3,NA,NA,NA,NA,2019
282,Atlético-MG,2,Dúvida,4,mei,Vinícius,71162,33,0.8,2.92,19,4.72,-0.27,4.99,2,NA,19,NA,60,NA,10,12,14,14,NA,2,2,1,NA,1,2,NA,2019
263,Botafogo,7,Provável,5,ata,Diego Souza,68911,33,0.7,2.58,28,5.99,-0.96,6.95,4,NA,50,NA,52,NA,30,11,13,7,NA,1,6,9,NA,NA,1,NA,2019
315,Chapecoense,5,Contundido,3,zag,Gum,68887,33,0,1.56,20,5.21,0,5.21,1,NA,14,NA,45,4,11,7,7,13,NA,NA,1,2,NA,2,NA,1,2019
264,Corinthians,7,Provável,3,zag,Gil,68923,33,4.7,4,22,11.2,0.23,10.969999999999999,4,NA,3,NA,11,8,9,2,7,27,NA,1,1,4,NA,NA,1,NA,2019
275,Palmeiras,7,Provável,5,ata,Dudu,68920,33,3,5.59,26,18.28,-0.45,18.73,3,NA,96,NA,75,NA,25,24,26,12,NA,4,6,6,NA,NA,2,NA,2019
290,Goiás,6,Nulo,4,mei,Giovanni Augusto,68938,33,0,1.76,12,4.32,0,4.32,1,NA,15,NA,37,NA,16,6,8,14,NA,1,NA,NA,NA,1,NA,NA,2019
283,Cruzeiro,6,Nulo,1,gol,Rafael,68928,33,0,2.73,3,3.99,0,3.99,NA,5,1,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,5,ata,Kieza,68930,33,0.8,1.39,19,3.6,-0.21,3.81,1,NA,22,NA,2,NA,18,8,8,3,NA,NA,1,3,NA,NA,NA,NA,2019
341,CSA,6,Nulo,3,zag,Ronaldo Alves,68950,33,0,1.68,6,4.15,0,4.15,1,NA,5,NA,4,1,9,NA,6,7,NA,NA,NA,NA,NA,NA,NA,1,2019
282,Atlético-MG,7,Provável,3,zag,Leonardo Silva,68925,33,0,1.55,14,4.46,0,4.46,5,NA,11,NA,14,1,14,2,3,11,NA,NA,1,NA,NA,NA,1,NA,2019
283,Cruzeiro,7,Provável,4,mei,Marquinhos Gabriel,68954,33,1.2,1.56,25,3.99,0.4,3.5900000000000003,2,NA,18,NA,29,NA,12,5,7,17,NA,2,NA,2,NA,NA,1,NA,2019
341,CSA,7,Provável,4,mei,João Vitor,68987,33,-0.4,2.02,16,4.92,-0.5,5.42,4,NA,10,NA,23,NA,35,1,3,41,NA,NA,NA,1,NA,1,NA,NA,2019
277,Santos,7,Provável,5,ata,Marinho,68952,33,9.6,4.94,25,9.49,-0.75,10.24,8,NA,69,NA,38,NA,37,18,21,26,NA,3,6,7,NA,1,1,NA,2019
341,CSA,7,Provável,3,zag,Luciano Castán,68942,33,1.5,1.43,29,5.26,0.48,4.779999999999999,9,NA,7,NA,43,9,29,2,3,26,NA,NA,NA,1,NA,NA,NA,1,2019
285,Internacional,7,Provável,3,zag,Víctor Cuesta,79113,33,10.2,5.84,26,15.6,1.18,14.42,7,NA,29,NA,40,9,28,4,4,81,NA,NA,NA,NA,NA,NA,1,NA,2019
315,Chapecoense,5,Contundido,3,zag,Neto,69008,33,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,7,Provável,1,gol,João Carlos,69010,33,-6,1.5,11,0.78,-0.97,1.75,1,18,1,17,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2019
314,Avaí,7,Provável,1,gol,Vladimir,69040,33,8,4.33,30,8.51,1,7.51,3,60,3,42,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,4,mei,Paulo Roberto,69047,33,0,0.68,4,3.66,0,3.66,NA,NA,7,NA,7,NA,5,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,5,ata,Marcelo Cirino,69022,33,-3.5,4.24,27,7.81,-2.37,10.18,NA,NA,25,NA,36,NA,21,7,17,16,NA,2,9,7,1,NA,1,NA,2019
284,Grêmio,6,Nulo,5,ata,André,68690,33,3,2.22,17,7.95,0.64,7.3100000000000005,3,NA,19,NA,18,NA,20,6,6,10,NA,2,2,5,1,NA,1,NA,2019
293,Athlético-PR,7,Provável,1,gol,Santos,69012,33,0,4.54,23,9.75,0,9.75,1,30,4,19,20,9,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,3,zag,Manoel,69014,33,7.5,3.83,25,11.61,1.05,10.559999999999999,1,NA,13,NA,34,12,24,2,6,29,NA,NA,1,NA,NA,NA,NA,1,2019
