clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,CA,FC,RB,DD,GS,PE,SG,A,CV,FD,FF,FS,FT,G,I,DP,PP,GC,ano
267,Vasco,6,Nulo,5,ata,Ribamar,94068,15,0,0.8,1,2.64,0,2.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,5,ata,Pepê,91201,15,-0.1,3.06,11,4.77,-0.77,5.539999999999999,1,6,5,NA,NA,17,NA,NA,NA,4,10,5,NA,3,6,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Max,94982,15,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,5,ata,Leandro Barcia,91242,15,0.1,4.51,13,9.01,-0.79,9.8,3,23,17,NA,NA,22,NA,1,NA,6,12,19,1,3,2,NA,NA,NA,2019
263,Botafogo,7,Provável,3,zag,Gabriel,87393,15,-0.9,3.06,14,7.98,-0.66,8.64,3,7,19,NA,NA,21,5,NA,NA,1,NA,9,NA,NA,1,NA,NA,NA,2019
276,São Paulo,6,Nulo,1,gol,Lucas Perri,91260,15,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,4,mei,William Oliveira,94297,15,0,0.07,3,2.16,0,2.16,1,5,1,NA,NA,1,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,5,Contundido,5,ata,Renato,39572,15,0,2.55,4,5.74,0,5.74,NA,NA,1,NA,NA,2,NA,NA,NA,2,3,9,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,4,mei,Leonardo Valencia,91508,15,0,-0.48,4,3.74,0,3.74,2,2,1,NA,NA,5,NA,NA,NA,1,3,NA,NA,NA,1,NA,NA,NA,2019
284,Grêmio,7,Provável,6,tec,Renato Gaúcho,41929,15,1.74,3.71,15,11.33,-0.02,11.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,7,Provável,6,tec,Vanderlei Luxemburgo,41327,15,2.24,3.18,11,7.96,-0.35,8.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Amaral,42232,15,0,1.8,4,3.04,0.05,2.99,NA,2,5,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,5,ata,Willian,42116,15,0,1.3,3,7.58,0,7.58,NA,2,2,NA,NA,1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,2,lat,Caíque Sá,87437,15,0,-0.25,2,3.03,0,3.03,1,4,3,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,4,mei,Thaciano,87470,15,0.7,1.35,11,3.64,-0.53,4.17,4,12,16,NA,NA,14,NA,NA,NA,3,3,9,NA,NA,3,NA,NA,NA,2019
284,Grêmio,6,Nulo,3,zag,Rodriguez,91251,15,0,6.94,5,5.01,0,5.01,NA,1,11,NA,NA,7,3,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,2019
277,Santos,7,Provável,4,mei,Diego Pituca,94156,15,-0.3,1.57,14,3.15,-0.83,3.98,4,31,16,NA,NA,37,NA,NA,NA,4,9,13,2,1,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,1,gol,Cássio,42234,15,0,4.98,11,9.09,0,9.09,3,NA,NA,15,7,4,6,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,5,ata,Osvaldo,42222,15,0,1.41,12,4.68,-0.24,4.92,1,8,5,NA,NA,16,NA,2,1,3,2,4,NA,1,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,4,mei,Vitor Bueno,87552,15,0.5,2.57,8,5.32,0.02,5.300000000000001,NA,3,7,NA,NA,9,NA,NA,NA,1,2,7,NA,1,NA,NA,NA,NA,2019
341,CSA,6,Nulo,4,mei,Madson,42467,15,0,1.8,6,6.21,0,6.21,NA,2,3,NA,NA,14,NA,NA,NA,1,6,11,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,7,Provável,6,tec,Cuca,42411,15,7.61,4.12,14,11.05,0.83,10.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,5,Contundido,5,ata,Alexandre Pato,49675,15,0,5.44,12,12.41,0,12.41,NA,8,9,NA,NA,21,NA,NA,NA,5,12,18,NA,5,5,NA,NA,NA,2019
262,Flamengo,2,Dúvida,4,mei,Arrascaeta,87863,15,11.1,12.11,8,17.18,-1.01,18.19,1,8,9,NA,NA,29,NA,6,NA,5,5,20,NA,6,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,4,mei,Yago Felipe,87747,15,2.6,2.41,9,4.19,0.38,3.8100000000000005,4,14,17,NA,NA,13,NA,1,NA,NA,2,8,1,NA,1,NA,NA,NA,2019
293,Athlético-PR,7,Provável,2,lat,Márcio Azevedo,42491,15,5,3.03,10,5.91,0.39,5.5200000000000005,3,13,6,NA,NA,24,5,2,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,5,ata,Tréllez,87679,15,-2.3,1.58,4,4.35,-1.03,5.38,NA,5,1,NA,NA,2,NA,NA,NA,3,6,4,NA,NA,5,NA,NA,NA,2019
285,Internacional,6,Nulo,2,lat,Bruno,42499,15,0,3.65,4,5.38,0,5.38,1,6,3,NA,NA,9,3,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,4,mei,Gerson,89256,15,5.4,5.62,5,9.18,0.36,8.82,1,9,8,NA,NA,14,NA,NA,NA,NA,1,24,2,1,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,3,zag,Maurício Ramos,42477,15,5.8,3.57,4,5.49,0.98,4.51,NA,4,3,NA,NA,5,2,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,4,mei,Ramires,50293,15,0.7,1,2,7.08,-1.03,8.11,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,2,lat,Fagner,42500,15,6.6,6.22,10,13.47,1.02,12.450000000000001,2,10,20,NA,NA,35,6,2,NA,1,2,18,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,4,mei,Tião,47134,15,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,3,zag,Rhodolfo,42501,15,0,-1,1,4.63,0,4.63,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Elicarlos,50313,15,0,1.52,6,5.19,0,5.19,1,9,7,NA,NA,11,NA,NA,NA,2,5,4,NA,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,2,lat,Jorge,88065,15,2.1,6.84,13,14.63,-0.09,14.72,2,16,23,NA,NA,23,7,3,NA,7,7,20,NA,NA,1,NA,NA,NA,2019
275,Palmeiras,6,Nulo,6,tec,Luiz Felipe Scolari,43618,15,3.8,4.14,10,12.27,0.1,12.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,4,mei,Guilherme,50294,15,0,-1.1,3,3.06,0,3.06,2,3,2,NA,NA,6,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,4,mei,Sornoza,87877,15,0,2.55,10,4.73,0,4.73,2,12,11,NA,NA,13,NA,1,NA,5,8,11,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,2,lat,Egídio,42145,15,4.7,4.47,8,9.33,0.82,8.51,NA,6,17,NA,NA,32,2,1,NA,3,1,8,NA,NA,1,NA,NA,NA,2019
284,Grêmio,7,Provável,1,gol,Júlio César,49673,15,1,2.4,5,5.25,0.56,4.6899999999999995,NA,NA,NA,9,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,5,Contundido,3,zag,Ernando,49651,15,0,4.64,8,10.78,0,10.78,NA,2,4,NA,NA,3,4,NA,NA,NA,NA,4,1,1,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,4,mei,Yuri,88125,15,0,-0.28,4,1.98,0,1.98,1,3,NA,NA,NA,1,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,3,zag,David Braz,50317,15,8,3.33,4,7.52,1.74,5.779999999999999,NA,2,3,NA,NA,5,NA,NA,NA,1,2,1,NA,1,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,3,zag,Paulo Ricardo,88224,15,0,-0.3,1,2.22,0,2.22,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,5,ata,Kayke,50402,15,0,4.71,13,7.22,0,7.22,3,13,3,NA,NA,23,NA,2,NA,5,14,5,NA,6,3,NA,NA,NA,2019
276,São Paulo,6,Nulo,4,mei,Hudson,50324,15,0,3.07,11,10.36,0,10.36,2,21,20,NA,NA,14,NA,1,NA,4,1,9,NA,1,1,NA,NA,NA,2019
