clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,A,CA,CV,FC,FD,FF,FS,G,I,PE,RB,DD,DP,GS,SG,PP,FT,GC,ano
315,Chapecoense,6,Nulo,4,mei,Kendy,98421,37,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,4,mei,Jaderson,98224,37,0,0,1,0.76,0,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,5,ata,Matheus Matias,100430,37,0,-0.1,2,1.79,0,1.79,NA,NA,NA,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,3,zag,Kanu,98484,37,0,0.33,3,0.89,0,0.89,NA,NA,NA,2,NA,NA,1,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,7,Provável,4,mei,Liziero,100761,37,2,1.34,19,4.11,0.36,3.7500000000000004,NA,2,NA,20,2,6,14,NA,NA,31,23,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,4,mei,Natan,98497,37,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,7,Provável,4,mei,Gabriel Sara,100763,37,0,0.58,5,0.79,0,0.79,NA,NA,NA,NA,1,1,1,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,5,ata,Gabriel Lima,98400,37,4.2,1.2,5,2.92,0.67,2.25,NA,NA,NA,2,NA,2,7,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,5,ata,Yuri Alberto,100652,37,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,4,mei,Lucas Bessa,98494,37,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,1,gol,Brenno,100830,37,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,3,zag,Ruan,100842,37,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,6,tec,Dyego Coelho,98499,37,4.95,4.41,7,12.18,0.26,11.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,1,gol,Tiepo,98412,37,0,3.38,24,12.62,0,12.62,NA,2,NA,NA,NA,NA,3,NA,NA,16,NA,39,4,38,5,NA,NA,NA,2019
284,Grêmio,6,Nulo,3,zag,Emanuel,100840,37,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,3,zag,Juninho,92182,37,2.1,3.29,26,6.34,-0.09,6.43,NA,1,NA,21,4,7,16,1,1,46,24,NA,NA,NA,10,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Ronei,98419,37,0,0,1,0.78,-0.22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,1,gol,Filipe,100712,37,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Gabriel Calabres,101911,37,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,2,Dúvida,4,mei,Pedrinho,98706,37,0,5.11,26,12.03,0,12.03,4,NA,NA,14,19,23,46,5,2,74,26,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,2,lat,Felipe,100843,37,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,1,gol,Vinícius,98496,37,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,7,Provável,4,mei,Matheus Prado,101375,37,0,0,1,0.78,-0.22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,2,lat,Esteves,100846,37,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,5,ata,Felippe Cardoso,100963,37,0,1.73,18,2.92,-0.17,3.09,1,2,NA,40,9,9,19,2,10,11,8,NA,NA,NA,NA,NA,1,NA,2019
276,São Paulo,6,Nulo,3,zag,Rony,101040,37,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,4,mei,Caio Henrique,98569,37,-0.6,2.16,33,5.54,-0.31,5.85,2,1,NA,37,3,6,24,1,7,70,52,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,2,Dúvida,2,lat,Carlos Augusto,101803,37,3.3,2.54,13,5.07,0.42,4.65,NA,2,NA,11,NA,4,9,1,NA,17,8,NA,NA,NA,4,NA,NA,NA,2019
293,Athlético-PR,7,Provável,5,ata,Braian Romero,101997,37,0,2.67,15,4.62,0,4.62,1,2,NA,22,3,6,16,2,3,16,14,NA,NA,NA,NA,NA,1,NA,2019
293,Athlético-PR,2,Dúvida,5,ata,Vitinho,101960,37,0,3.16,14,1.87,0,1.87,3,NA,1,16,7,8,8,2,NA,10,7,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,5,ata,Lucas Silva,98515,37,0,0.44,9,1.48,0,1.48,NA,NA,NA,3,1,1,5,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Bruno Silva,101422,37,0,-0.3,1,2.8,0,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,4,mei,Nonato,100987,37,2.5,3.15,25,8.15,0.33,7.82,1,3,NA,44,4,8,19,3,1,33,45,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Guilherme Castilho,101798,37,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,5,ata,Ferreira,101290,37,8.9,6.13,3,5.54,1.44,4.1,1,NA,NA,3,1,1,5,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,1,gol,Marcelo Pitaluga ,101478,37,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,4,mei,Lucas Araújo,100844,37,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,1,gol,Lucas Paes,101837,37,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,1,gol,Vitor Eudes,102137,37,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Felipe Sousa,101861,37,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,4,mei,Sarrafiore,101315,37,0,1.72,18,3.1,0,3.1,NA,4,NA,18,4,7,10,3,NA,21,10,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,5,Contundido,2,lat,Iury,101846,37,0,2.94,10,6.43,0,6.43,1,1,NA,14,NA,3,10,NA,NA,30,10,NA,NA,NA,4,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Igor Goularte,101889,37,0,1.35,7,2.32,0,2.32,NA,NA,NA,3,1,2,4,NA,1,3,5,NA,NA,NA,NA,NA,NA,NA,2019
