rodada_id;clube_casa_id;clube_visitante_id;placar_oficial_mandante;placar_oficial_visitante;clube_casa;clube_visitante;ano;partidas.partida_data;partidas.local
20;292;277;3;1;Sport;Santos;2014;10/09/2014 21:00;Arena Pernambuco
20;294;315;3;0;Coritiba;Chapecoense;2014;10/09/2014 21:00;Estádio Couto Pereira
20;316;266;1;1;Figueirense;Fluminense;2014;10/09/2014 19:30;Estádio Orlando Scarpelli
21;262;264;1;0;Flamengo;Corinthians;2014;14/09/2014 16:00;Estádio Maracanã
21;265;316;3;0;Bahia;Figueirense;2014;14/09/2014 16:00;Joia da Princesa
21;266;275;3;0;Fluminense;Palmeiras;2014;13/09/2014 18:30;Estádio Maracanã
21;276;283;2;0;São Paulo;Cruzeiro;2014;14/09/2014 16:00;Morumbi
21;277;294;2;1;Santos;Coritiba;2014;13/09/2014 21:00;Vila Belmiro
21;282;284;0;0;Atlético-MG;Grêmio;2014;14/09/2014 18:30;Estádio Raimundo Sampaio
21;285;263;2;0;Internacional;Botafogo;2014;14/09/2014 16:00;Estádio Beira-Rio
21;288;290;1;0;Criciúma;Goiás;2014;14/09/2014 18:30;Estádio Heriberto Hülse
21;293;287;2;0;Atlético-PR;Vitória;2014;14/09/2014 18:30;Arena da Baixada
21;315;292;3;1;Chapecoense;Sport;2014;13/09/2014 18:30;Arena Condá
22;263;265;2;3;Botafogo;Bahia;2014;17/09/2014 22:00;Maracanã
22;264;315;1;1;Corinthians;Chapecoense;2014;18/09/2014 19:30;Couto Pereira
22;275;262;2;2;Palmeiras;Flamengo;2014;17/09/2014 22:00;Pacaembu
22;283;293;2;0;Cruzeiro;Atlético-PR;2014;17/09/2014 19:30;Mineirão
22;284;277;0;0;Grêmio;Santos;2014;18/09/2014 20:30;Arena do Grêmio
22;287;266;3;1;Vitória;Fluminense;2014;17/09/2014 19:30;Barradão
22;290;282;2;3;Goiás;Atlético-MG;2014;18/09/2014 19:30;Serra Dourada
22;292;285;0;0;Sport;Internacional;2014;17/09/2014 21:00;Arena Pernambuco
22;294;276;3;1;Coritiba;São Paulo;2014;17/09/2014 22:00;Couto Pereira
22;316;288;1;1;Figueirense;Criciúma;2014;17/09/2014 21:00;Estádio Orlando Scarpelli
23;262;266;1;1;Flamengo;Fluminense;2014;21/09/2014 16:00;Maracanã
23;264;276;3;2;Corinthians;São Paulo;2014;21/09/2014 16:00;Arena Corinthians
23;277;316;3;1;Santos;Figueirense;2014;21/09/2014 18:30;Vila Belmiro
23;283;282;2;3;Cruzeiro;Atlético-MG;2014;21/09/2014 16:00;Mineirão
23;284;315;1;0;Grêmio;Chapecoense;2014;21/09/2014 18:30;Arena do Grêmio
23;287;265;2;1;Vitória;Bahia;2014;21/09/2014 16:00;Fonte Nova
23;288;263;1;1;Criciúma;Botafogo;2014;20/09/2014 21:00;Estádio Heriberto Hülse
23;290;275;6;0;Goiás;Palmeiras;2014;21/09/2014 18:30;Serra Dourada
23;292;294;1;0;Sport;Coritiba;2014;21/09/2014 16:00;Ilha do Retiro
23;293;285;0;1;Atlético-PR;Internacional;2014;20/09/2014 18:30;Arena da Baixada
24;263;290;1;0;Botafogo;Goiás;2014;25/09/2014 19:30;Maracanã
24;265;292;1;0;Bahia;Sport;2014;24/09/2014 21:00;Fonte Nova
24;266;284;0;0;Fluminense;Grêmio;2014;24/09/2014 22:00;Maracanã
24;275;287;2;0;Palmeiras;Vitória;2014;25/09/2014 19:30;Pacaembu
24;276;262;2;2;São Paulo;Flamengo;2014;24/09/2014 22:00;Morumbi
24;282;277;3;2;Atlético-MG;Santos;2014;25/09/2014 20:30;Independência
24;285;288;3;0;Internacional;Criciúma;2014;24/09/2014 19:30;Beira-Rio
