rodada_id;clube_casa_id;clube_visitante_id;placar_oficial_mandante;placar_oficial_visitante;clube_casa;clube_visitante;ano;partidas.partida_data;partidas.local
17;266;265;1;1;Fluminense;Bahia;2018;05/08/2018 19:00;Maracanã
17;263;277;0;0;Botafogo;Santos;2018;04/08/2018 16:00;Engenhão
17;276;267;2;1;São Paulo;Vasco;2018;05/08/2018 16:00;Morumbi
17;292;315;1;1;Sport;Chapecoense;2018;05/08/2018 19:00;Ilha do Retiro
17;264;293;0;0;Corinthians;Atlético-PR;2018;04/08/2018 21:00;Arena Corinthians
17;284;262;2;0;Grêmio;Flamengo;2018;04/08/2018 19:00;Arena do Grêmio
18;282;277;3;1;Atlético-MG;Santos;2018;12/08/2018 11:00;Independência
18;289;263;1;1;Paraná;Botafogo;2018;12/08/2018 11:00;Durival Britto
18;315;264;2;1;Chapecoense;Corinthians;2018;12/08/2018 16:00;Arena Condá
18;265;327;1;0;Bahia;América-MG;2018;11/08/2018 19:00;Fonte Nova
18;266;285;0;3;Fluminense;Internacional;2018;13/08/2018 20:00;Maracanã
18;262;283;1;0;Flamengo;Cruzeiro;2018;12/08/2018 16:00;Maracanã
18;354;293;0;0;Ceará;Atlético-PR;2018;11/08/2018 16:00;Presidente Vargas (CE)
18;292;276;1;3;Sport;São Paulo;2018;12/08/2018 16:00;Ilha do Retiro
18;275;267;1;0;Palmeiras;Vasco;2018;12/08/2018 19:00;Arena Palmeiras
18;284;287;4;0;Grêmio;Vitória;2018;12/08/2018 19:00;Arena do Grêmio
19;283;265;1;1;Cruzeiro;Bahia;2018;19/08/2018 16:00;Mineirão
19;293;262;3;0;Atlético-PR;Flamengo;2018;19/08/2018 11:00;Arena da Baixada
19;327;266;0;0;América-MG;Fluminense;2018;19/08/2018 19:00;Independência
19;287;275;0;3;Vitória;Palmeiras;2018;19/08/2018 16:00;Barradão
19;267;354;1;1;Vasco;Ceará;2018;20/08/2018 20:00;São Januário
19;263;282;0;3;Botafogo;Atlético-MG;2018;19/08/2018 16:00;Engenhão
19;276;315;2;0;São Paulo;Chapecoense;2018;19/08/2018 19:00;Morumbi
19;277;292;3;0;Santos;Sport;2018;18/08/2018 16:00;Vila Belmiro
19;264;284;0;1;Corinthians;Grêmio;2018;18/08/2018 19:00;Arena Corinthians
19;285;289;1;0;Internacional;Paraná;2018;19/08/2018 11:00;Beira-Rio
20;282;267;0;0;Atlético-MG;Vasco;2018;23/08/2018 20:00;Independência
20;289;276;1;1;Paraná;São Paulo;2018;22/08/2018 19:30;Durival Britto
20;315;293;2;1;Chapecoense;Atlético-PR;2018;13/09/2018 20:00;Arena Condá
20;265;285;0;1;Bahia;Internacional;2018;22/08/2018 19:30;Fonte Nova
20;266;264;1;0;Fluminense;Corinthians;2018;22/08/2018 21:45;Maracanã
20;262;287;1;0;Flamengo;Vitória;2018;23/08/2018 19:30;Maracanã
20;354;277;1;1;Ceará;Santos;2018;08/08/2018 19:30;Presidente Vargas (CE)
20;292;327;0;2;Sport;América-MG;2018;22/08/2018 21:00;Ilha do Retiro
20;275;263;2;0;Palmeiras;Botafogo;2018;22/08/2018 21:00;Arena Palmeiras
20;284;283;1;1;Grêmio;Cruzeiro;2018;22/08/2018 21:45;Arena do Grêmio
21;283;266;2;1;Cruzeiro;Fluminense;2018;25/08/2018 21:00;Mineirão
21;293;284;2;1;Atlético-PR;Grêmio;2018;25/08/2018 19:00;Arena da Baixada
21;327;262;2;2;América-MG;Flamengo;2018;26/08/2018 16:00;Independência
21;287;282;1;0;Vitória;Atlético-MG;2018;26/08/2018 16:00;Barradão
21;267;315;3;1;Vasco;Chapecoense;2018;26/08/2018 19:00;São Januário
